,frac,baseline_bacc,baseline_acc,baseline_auc,baseline_ap,bacc,acc,auc,ap
0,0.0,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108
1,0.01,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8535416666666666,0.9288194444444444,0.9486414930555556,0.8521930614739579
2,0.02,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8538541666666667,0.9293402777777778,0.9484809027777779,0.8514180987412929
3,0.05,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8526041666666666,0.9286458333333334,0.9487369791666668,0.8524900121508547
4,0.1,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8517708333333334,0.9286458333333334,0.9489127604166667,0.8531398582427977
5,0.2,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8552083333333333,0.928125,0.94892578125,0.8520010231285827
6,0.4,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8578125,0.9269097222222221,0.9496983506944444,0.8560207818548049
7,0.6,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8516666666666666,0.9263888888888889,0.9504448784722221,0.8575378938715625
8,0.8,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8514583333333332,0.9302083333333334,0.9523046875000001,0.8615233278340106
9,1.0,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8530208333333335,0.9307291666666666,0.9527191840277778,0.8620341170009697
