,frac,baseline_bacc,baseline_acc,baseline_auc,baseline_ap,bacc,acc,auc,ap
0,0.0,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108
1,0.01,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8543749999999999,0.9288194444444444,0.9489539930555555,0.8524568435877049
2,0.02,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.851875,0.928125,0.9484049479166666,0.8510648077015407
3,0.05,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8535416666666666,0.9288194444444444,0.9490321180555557,0.8525642010299472
4,0.1,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8556250000000001,0.929513888888889,0.9485329861111111,0.851753484550394
5,0.2,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8582291666666666,0.9289930555555556,0.9488758680555556,0.8525495772477447
6,0.4,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8549999999999999,0.9277777777777778,0.9487825520833333,0.8528859627173319
7,0.6,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8547916666666667,0.928125,0.95029296875,0.8567674784418493
8,0.8,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8474999999999999,0.9291666666666666,0.9516753472222221,0.8605340645046182
9,1.0,0.8485416666666667,0.928125,0.9485004340277777,0.8511530632942108,0.8546875,0.9307291666666666,0.9526085069444445,0.8616054312039332
