,frac,baseline_bacc,baseline_acc,baseline_auc,baseline_ap,bacc,acc,auc,ap
0,0.0,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479
1,0.01,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8298958333333333,0.9137152777777778,0.9434157986111111,0.8177160004473931
2,0.02,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8311458333333335,0.9137152777777778,0.9448806423611111,0.8205773576084063
3,0.05,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8171875,0.9133680555555556,0.9430989583333333,0.8173521886364024
4,0.1,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8322916666666667,0.914236111111111,0.944064670138889,0.8222708563409318
5,0.2,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8361458333333334,0.9192708333333334,0.9490603298611111,0.8325935432914962
6,0.4,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8262499999999999,0.91875,0.9505750868055556,0.8360189457334106
7,0.6,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8434375,0.9272569444444445,0.95361328125,0.8511924208706729
8,0.8,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8405208333333333,0.9265625,0.9539691840277778,0.8498404932805677
9,1.0,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8461458333333333,0.9269097222222221,0.9542078993055556,0.8483682441839475
