,frac,baseline_bacc,baseline_acc,baseline_auc,baseline_ap,bacc,acc,auc,ap
0,0.0,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479
1,0.01,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8182291666666666,0.9130208333333334,0.9421050347222222,0.816239941460231
2,0.02,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8265625,0.9151041666666666,0.9459418402777777,0.8186993128420694
3,0.05,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8273958333333333,0.9116319444444445,0.9464388020833333,0.8246318446588001
4,0.1,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8273958333333333,0.9164930555555555,0.9462196180555555,0.8295032948838535
5,0.2,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8236458333333333,0.9171875,0.9473263888888889,0.8233538279996061
6,0.4,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8428125,0.9206597222222221,0.9534939236111111,0.8415794323237848
7,0.6,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8384375000000001,0.9237847222222222,0.9528645833333333,0.8492969921181279
8,0.8,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8432291666666666,0.9269097222222221,0.9563151041666667,0.8580946593129395
9,1.0,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8538541666666667,0.9307291666666666,0.9575629340277778,0.8591260362773785
