,frac,baseline_bacc,baseline_acc,baseline_auc,baseline_ap,bacc,acc,auc,ap
0,0.0,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479
1,0.01,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8155208333333335,0.9098958333333333,0.9416883680555556,0.8142575975883706
2,0.02,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8216666666666667,0.9131944444444444,0.9440082465277777,0.8176599267431461
3,0.05,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8262499999999999,0.9125,0.9412391493055555,0.813666190972634
4,0.1,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8117708333333333,0.9126736111111111,0.9407703993055556,0.813032574893963
5,0.2,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8178124999999999,0.9144097222222222,0.9443532986111111,0.8194694462279364
6,0.4,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8221875000000001,0.9168402777777779,0.9469661458333333,0.8281325811297171
7,0.6,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8261458333333334,0.9178819444444445,0.9475954861111111,0.8298111179368591
8,0.8,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8264583333333334,0.9190972222222221,0.9491145833333334,0.8343961718441563
9,1.0,0.8238541666666667,0.9126736111111111,0.9428255208333333,0.8178524314732479,0.8301041666666666,0.921701388888889,0.9496614583333333,0.8358774719535873
